Date,Open,High,Low,Close
1985-10-01,,,,0.56
1985-10-02,,,,0.55
1985-10-03,,,,0.56
1985-10-04,,,,0.55
1985-10-07,,,,0.53
1985-10-08,,,,0.53
1985-10-09,,,,0.54
1985-10-10,,,,0.54
1985-10-11,,,,0.56
1985-10-14,,,,0.57
1985-10-15,,,,0.57
1985-10-16,,,,0.59
1985-10-17,,,,0.58
1985-10-18,,,,0.58
1985-10-21,,,,0.58
1985-10-22,,,,0.59
1985-10-23,,,,0.60
1985-10-24,,,,0.59
1985-10-25,,,,0.58
1985-10-28,,,,0.58
1985-10-29,,,,0.60
1985-10-30,,,,0.61
1985-10-31,,,,0.60
1985-11-01,,,,0.62
1985-11-04,,,,0.62
1985-11-05,,,,0.63
1985-11-06,,,,0.63
1985-11-07,,,,0.63
1985-11-08,,,,0.64
1985-11-11,,,,0.67
1985-11-12,,,,0.68
1985-11-13,,,,0.67
1985-11-14,,,,0.69
1985-11-15,,,,0.68
1985-11-18,,,,0.69
1985-11-19,,,,0.69
1985-11-20,,,,0.69
1985-11-21,,,,0.71
1985-11-22,,,,0.72
1985-11-25,,,,0.70
1985-11-26,,,,0.71
1985-11-27,,,,0.73
1985-11-29,,,,0.72
1985-12-02,,,,0.70
1985-12-03,,,,0.71
1985-12-04,,,,0.74
1985-12-05,,,,0.74
1985-12-06,,,,0.73
1985-12-09,,,,0.74
1985-12-10,,,,0.74
1985-12-11,,,,0.76
1985-12-12,,,,0.77
1985-12-13,,,,0.80
1985-12-16,,,,0.83
1985-12-17,,,,0.81
1985-12-18,,,,0.80
1985-12-19,,,,0.80
1985-12-20,,,,0.81
1985-12-23,,,,0.78
1985-12-24,,,,0.77
1985-12-26,,,,0.77
1985-12-27,,,,0.80
1985-12-30,,,,0.81
1985-12-31,,,,0.81
1986-01-02,,,,0.79
1986-01-03,,,,0.81
1986-01-06,,,,0.81
1986-01-07,,,,0.84
1986-01-08,,,,0.77
1986-01-09,,,,0.75
1986-01-10,,,,0.75
1986-01-13,,,,0.76
1986-01-14,,,,0.76
1986-01-15,,,,0.77
1986-01-16,,,,0.78
1986-01-17,,,,0.77
1986-01-20,,,,0.76
1986-01-21,,,,0.75
1986-01-22,,,,0.72
1986-01-23,,,,0.73
1986-01-24,,,,0.75
1986-01-27,,,,0.76
1986-01-28,,,,0.79
1986-01-29,,,,0.79
1986-01-30,,,,0.78
1986-01-31,,,,0.81
1986-02-03,,,,0.83
1986-02-04,,,,0.82
1986-02-05,,,,0.82
1986-02-06,,,,0.83
1986-02-07,,,,0.84
1986-02-10,,,,0.86
1986-02-11,,,,0.85
1986-02-12,,,,0.85
1986-02-13,,,,0.87
1986-02-14,,,,0.90
1986-02-18,,,,0.93
1986-02-19,,,,0.90
1986-02-20,,,,0.93
1986-02-21,,,,0.96
1986-02-24,,,,0.95
1986-02-25,,,,0.95
1986-02-26,,,,0.95
1986-02-27,,,,0.98
1986-02-28,,,,0.98
1986-03-03,,,,0.96
1986-03-04,,,,0.95
1986-03-05,,,,0.95
1986-03-06,,,,0.96
1986-03-07,,,,0.97
1986-03-10,,,,0.98
1986-03-11,,,,1.04
1986-03-12,,,,1.05
1986-03-13,,,,1.06
1986-03-14,,,,1.11
1986-03-17,,,,1.08
1986-03-18,,,,1.10
1986-03-19,,,,1.09
1986-03-20,,,,1.11
1986-03-21,,,,1.06
1986-03-24,,,,1.09
1986-03-25,,,,1.08
1986-03-26,,,,1.11
1986-03-27,,,,1.14
1986-03-31,,,,1.14
1986-04-01,,,,1.08
1986-04-02,,,,1.09
1986-04-03,,,,1.04
1986-04-04,,,,0.99
1986-04-07,,,,0.99
1986-04-08,,,,1.06
1986-04-09,,,,1.06
1986-04-10,,,,1.09
1986-04-11,,,,1.09
1986-04-14,,,,1.11
1986-04-15,,,,1.11
1986-04-16,,,,1.17
1986-04-17,,,,1.19
1986-04-18,,,,1.18
1986-04-21,,,,1.21
1986-04-22,,,,1.17
1986-04-23,,,,1.16
1986-04-24,,,,1.17
1986-04-25,,,,1.17
1986-04-28,,,,1.18
1986-04-29,,,,1.14
1986-04-30,,,,1.07
1986-05-01,,,,1.07
1986-05-02,,,,1.06
1986-05-05,,,,1.10
1986-05-06,,,,1.10
1986-05-07,,,,1.08
1986-05-08,,,,1.09
1986-05-09,,,,1.10
1986-05-12,,,,1.10
1986-05-13,,,,1.08
1986-05-14,,,,1.10
1986-05-15,,,,1.05
1986-05-16,,,,1.03
1986-05-19,,,,1.04
1986-05-20,,,,1.07
1986-05-21,,,,1.07
1986-05-22,,,,1.13
1986-05-23,,,,1.15
1986-05-27,,,,1.19
1986-05-28,,,,1.22
1986-05-29,,,,1.24
1986-05-30,,,,1.23
1986-06-02,,,,1.20
1986-06-03,,,,1.20
1986-06-04,,,,1.18
1986-06-05,,,,1.20
1986-06-06,,,,1.20
1986-06-09,,,,1.12
1986-06-10,,,,1.11
1986-06-11,,,,1.13
1986-06-12,,,,1.14
1986-06-13,,,,1.20
1986-06-16,,,,1.20
1986-06-17,,,,1.18
1986-06-18,,,,1.19
1986-06-19,,,,1.17
1986-06-20,,,,1.22
1986-06-23,,,,1.19
1986-06-24,,,,1.21
1986-06-25,,,,1.24
1986-06-26,,,,1.24
1986-06-27,,,,1.25
1986-06-30,,,,1.27
1986-07-01,,,,1.29
1986-07-02,,,,1.30
1986-07-03,,,,1.28
1986-07-07,,,,1.16
1986-07-08,,,,1.13
1986-07-09,,,,1.14
1986-07-10,,,,1.15
1986-07-11,,,,1.13
1986-07-14,,,,1.08
1986-07-15,,,,1.02
1986-07-16,,,,1.03
1986-07-17,,,,1.05
1986-07-18,,,,1.05
1986-07-21,,,,1.05
1986-07-22,,,,1.07
1986-07-23,,,,1.08
1986-07-24,,,,1.07
1986-07-25,,,,1.10
1986-07-28,,,,1.04
1986-07-29,,,,1.02
1986-07-30,,,,1.05
1986-07-31,,,,1.04
1986-08-01,,,,1.03
1986-08-04,,,,1.04
1986-08-05,,,,1.05
1986-08-06,,,,1.05
1986-08-07,,,,1.05
1986-08-08,,,,1.05
1986-08-11,,,,1.10
1986-08-12,,,,1.14
1986-08-13,,,,1.17
1986-08-14,,,,1.18
1986-08-15,,,,1.19
1986-08-18,,,,1.19
1986-08-19,,,,1.18
1986-08-20,,,,1.23
1986-08-21,,,,1.22
1986-08-22,,,,1.23
1986-08-25,,,,1.20
1986-08-26,,,,1.27
1986-08-27,,,,1.28
1986-08-28,,,,1.27
1986-08-29,,,,1.27
1986-09-02,,,,1.20
1986-09-03,,,,1.22
1986-09-04,,,,1.28
